Year,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central
2008,0.4308803917275423,0.4414085896487334,0.44298924325344397,0.4145814791578517,0.4446375112525384,0.4191727260255179,0.4499000710492284,0.4367174404197945,0.43018235711063857
2009,0.43759603174046346,0.4497103641663284,0.4493642355281975,0.4228389875815296,0.4488946967222041,0.42540477334844573,0.4560185185185186,0.4387937913072279,0.4313206328705199
2010,0.4404308334178389,0.4524899057873486,0.4516490016466037,0.4261759139044878,0.4516001667068811,0.4273690162900455,0.4587362745312056,0.4469148409456616,0.4352958798693092
2011,0.43819259895328266,0.4485645695692717,0.4521279161374343,0.4245035896772525,0.4489898110249935,0.4218257285754096,0.4563433904415357,0.44060508809920707,0.43532640963996144
2012,0.4370839729086796,0.44684856011798496,0.4485893889069448,0.4224089548515839,0.4506490112379127,0.4248204963221853,0.4537606063102397,0.43662295483791896,0.4295600732428753
2013,0.4341620011660825,0.4421959338737282,0.4486481462836608,0.4198875561070515,0.4506839915948369,0.4243585130625578,0.4527501259067968,0.4372096474953618,0.4324947186479739
2014,0.433084474422575,0.44432796705353794,0.4529610238510762,0.4170143787710504,0.4510792131844764,0.4215090587715422,0.4530307931339849,0.43863140230772657,0.4303291656496072
2015,0.4296158119247809,0.4418890642781102,0.4508264999656103,0.42018098752416094,0.4483199798649272,0.4246730566701772,0.4569776342417347,0.4390703335555105,0.4324283891406697
2016,0.4342572850035537,0.447422905088809,0.4539038243089738,0.42315747195685227,0.4518228097544954,0.4244813196971571,0.4544160129946233,0.4387862682514695,0.4379685420023821
2017,0.4352296999715644,0.4495523020680641,0.4532850804133438,0.425370870788066,0.4538935664504693,0.4269161537202774,0.4545842683241655,0.44140400945705854,0.43775567362042334
2018,0.436654679071222,0.4458848200204503,0.4539689004611111,0.4232064441391201,0.4533565823888405,0.4273381206426563,0.4554005001994959,0.4424720394044428,0.4393678859913269
